"tweet_id","texto_tweet","sentimiento"
1,"estoy hasta el ojete de que me digáis que tengo cara de mala leche",0
2,"@user Por?  Tenía pensado verla después de la segunda de Daredevil",1
3,"Esto de estar feliz mola",2
4,"Ya no es tan divertido",0
5,"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1
6,"@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli",2
7,"He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.",0
8,"@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo",1
9,"@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user",2
10,"@user ya somos dos, que triste",0
11,"JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?",1
12,"#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico",2
13,"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",0
14,"@user es chevre las letras!! sabes q dia es mañana,....",1
15,"Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http",2
16,"Esta ceniza me tiene harta, me arden los ojos",0
17,"¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?",1
18,"@user No. tampoco soy cursi",2
19,"En fin estoy hasta los huevos del 90% de las personas así que.",0
20,"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",1
21,"@user     Ya está preparando cosillas nuevas jeje",2
22,"@user Jo, yo que me había ilusionado",0
23,"Si la U cerró todo... entonces yo estoy libre hasta el lunes",1
24,"Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...",2
25,"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",0
26,"@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos",1
27,"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",2
28,"Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara",0
29,"@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas",1
30,"Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!",2
31,"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",0
32,"como entraba una conversación de estas largas de hablar toda la noche con alguien",1
33,"una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!",2
34,"Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida",0
35,"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",1
36,"Que dicha que hay trabajo y salud y vacaciones también",2
37,"@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño",0
38,"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",1
39,"La pulsera es preciosa tio",2
40,"@user es lamentable un tema tan sensible jamás con ese enfoque",0
41,"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",1
42,"@user, vaya, felicidades atrasadas y muchas gracias",2
43,"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",0
44,"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",1
45,"@user Que bonita la gente educada un gran abrazo para vos 🤗",2
46,"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",0
47,"@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima",1
48,"@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!",2
49,"Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda",0
50,"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",1
51,"FF a los geniales de @user !!",2
52,"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",0
53,"sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.",1
54,"2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos",2
55,"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",0
56,"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",1
57,"@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).",2
58,"Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal",0
59,"@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.",1
60,"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",2
61,"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",0
62,"Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente",1
63,"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",2
64,"Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!",0
65,"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",1
66,"Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http",2
67,"Cuando pasan de tu p*** cara  😢",0
68,"@user la divaza te tiene cansado toda la noche no te deja dormir",1
69,"Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?",2
70,"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",0
71,"@user No se , creo que no . Yo solo mire mi fecha",1
72,"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",2
73,"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",0
74,"@user hoy tengo libre JAJA , viernes no puedo",1
75,"@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...",2
76,"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",0
77,"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",1
78,"Sólo la Karlita me entiende y me da buenos consejos",2
79,"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",0
80,"Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe",1
81,"Tengamos un día lleno de magia y lindos momentos",2
82,"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",0
83,"@user todo lo que sea posible",1
84,"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja",2
85,"Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️",0
86,"cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo",1
87,"@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!",2
88,"Quiero comer algo, aunque estoy llena",0
89,"No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.",1
90,"@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel",2
91,"glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA",0
92,"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",1
93,"@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión",2
94,"Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante",0
95,"Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http",1
96,"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??",2
97,"Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk",0
98,"El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza",1
99,"@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)",2
100,"Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas",0
101,"Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.",1
102,"@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨",2
103,"ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA",0
104,"@user @user dicen que tira pa, san Mateo ahora Jaaja",1
105,"@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!",2
106,"@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar",0
107,"Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?",1
108,"Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo",2
109,"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa",0
110,"Nicole choteando idiotas desde tiempos inmemorables!",1
111,"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",2
112,"@user necesito mi ración de atención diaria que si no no mantengo la autoestima",0
113,"@user @user Fue la última vez que fuimos al cine",1
114,"@user Pero es que está muy rica",2
115,"@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder",0
116,"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge",1
117,"@user ya mismo seguro! Un abrazo fuerte",2
118,"Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo",0
119,"@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",1
120,"@user Que bonita zona de entreno escogieron",2
121,"Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que",0
122,"@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!",1
123,"Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio",2
124,"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user",0
125,"@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche",1
126,"y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️",2
127,"Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors",0
128,"Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki",1
129,"@user no las des preciosa",2
130,"Bueeeeno... no me siento bien. Gracias playlist por cagarme peor",0
131,"yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user",1
132,"No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo",2
133,"@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?",0
134,"@user @user sí, celulares distintos en realidad",1
135,"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado",2
136,"@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación",0
137,"¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?",1
138,"@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento",2
139,"Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días",0
140,"#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user",1
141,"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida",2
142,"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",0
143,"@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?",1
144,"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato",2
145,"@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this",0
146,""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http",1
147,"@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.",2
